elapsed_ms,label,r,g,b
51920,rate_65,255,0,0
51946,rate_65,0,0,255
51968,rate_65,255,0,0
51992,rate_65,0,0,255
52014,rate_65,255,0,0
52037,rate_65,0,0,255
52060,rate_65,255,0,0
52084,rate_65,0,0,255
52106,rate_65,255,0,0
52133,rate_65,0,0,255
52157,rate_65,255,0,0
52180,rate_65,0,0,255
52203,rate_65,255,0,0
52226,rate_65,0,0,255
52249,rate_65,255,0,0
52272,rate_65,0,0,255
52294,rate_65,255,0,0
52317,rate_65,0,0,255
52338,rate_65,255,0,0
52362,rate_65,0,0,255
52385,rate_65,255,0,0
52410,rate_65,0,0,255
52434,rate_65,255,0,0
52472,rate_65,0,0,255
52495,rate_65,255,0,0
52518,rate_65,0,0,255
52541,rate_65,255,0,0
52574,rate_65,0,0,255
52599,rate_65,255,0,0
52624,rate_65,0,0,255
52646,rate_65,255,0,0
52670,rate_65,0,0,255
52695,rate_65,255,0,0
52717,rate_65,0,0,255
52740,rate_65,255,0,0
52764,rate_65,0,0,255
52786,rate_65,255,0,0
52810,rate_65,0,0,255
52833,rate_65,255,0,0
52856,rate_65,0,0,255
52879,rate_65,255,0,0
52901,rate_65,0,0,255
52925,rate_65,255,0,0
52948,rate_65,0,0,255
52971,rate_65,255,0,0
52993,rate_65,0,0,255
53017,rate_65,255,0,0
53040,rate_65,0,0,255
53064,rate_65,255,0,0
53085,rate_65,0,0,255
53109,rate_65,255,0,0
53133,rate_65,0,0,255
53156,rate_65,255,0,0
53179,rate_65,0,0,255
53202,rate_65,255,0,0
53225,rate_65,0,0,255
53249,rate_65,255,0,0
53274,rate_65,0,0,255
53297,rate_65,255,0,0
53320,rate_65,0,0,255
53342,rate_65,255,0,0
53365,rate_65,0,0,255
53388,rate_65,255,0,0
53410,rate_65,0,0,255
53433,rate_65,255,0,0
53469,rate_65,0,0,255
53494,rate_65,255,0,0
53517,rate_65,0,0,255
53542,rate_65,255,0,0
53571,rate_65,0,0,255
53597,rate_65,255,0,0
53619,rate_65,0,0,255
53642,rate_65,255,0,0
53665,rate_65,0,0,255
53690,rate_65,255,0,0
53715,rate_65,0,0,255
53740,rate_65,255,0,0
53763,rate_65,0,0,255
53788,rate_65,255,0,0
53812,rate_65,0,0,255
53836,rate_65,255,0,0
53858,rate_65,0,0,255
53881,rate_65,255,0,0
53904,rate_65,0,0,255
53928,rate_65,255,0,0
53949,rate_65,0,0,255
53973,rate_65,255,0,0
53996,rate_65,0,0,255
54020,rate_65,255,0,0
54042,rate_65,0,0,255
54065,rate_65,255,0,0
54086,rate_65,0,0,255
54109,rate_65,255,0,0
54131,rate_65,0,0,255
54156,rate_65,255,0,0
54178,rate_65,0,0,255
54201,rate_65,255,0,0
54223,rate_65,0,0,255
54245,rate_65,255,0,0
54268,rate_65,0,0,255
54290,rate_65,255,0,0
54313,rate_65,0,0,255
54335,rate_65,255,0,0
54358,rate_65,0,0,255
54381,rate_65,255,0,0
54403,rate_65,0,0,255
54424,rate_65,255,0,0
54463,rate_65,0,0,255
54486,rate_65,255,0,0
54508,rate_65,0,0,255
54535,rate_65,255,0,0
54559,rate_65,0,0,255
54585,rate_65,255,0,0
54615,rate_65,0,0,255
54645,rate_65,255,0,0
54668,rate_65,0,0,255
54689,rate_65,255,0,0
54713,rate_65,0,0,255
54734,rate_65,255,0,0
54759,rate_65,0,0,255
54781,rate_65,255,0,0
54805,rate_65,0,0,255
54827,rate_65,255,0,0
54850,rate_65,0,0,255
54872,rate_80_marker,0,0,0
55585,rate_80,255,0,0
55606,rate_80,0,0,255
55626,rate_80,255,0,0
55645,rate_80,0,0,255
55666,rate_80,255,0,0
55687,rate_80,0,0,255
55708,rate_80,255,0,0
55732,rate_80,0,0,255
55755,rate_80,255,0,0
55790,rate_80,0,0,255
55812,rate_80,255,0,0
55833,rate_80,0,0,255
55855,rate_80,255,0,0
55876,rate_80,0,0,255
55902,rate_80,255,0,0
55924,rate_80,0,0,255
55944,rate_80,255,0,0
55963,rate_80,0,0,255
55985,rate_80,255,0,0
56006,rate_80,0,0,255
56027,rate_80,255,0,0
56048,rate_80,0,0,255
56070,rate_80,255,0,0
56090,rate_80,0,0,255
56109,rate_80,255,0,0
56129,rate_80,0,0,255
56147,rate_80,255,0,0
56169,rate_80,0,0,255
56189,rate_80,255,0,0
56207,rate_80,0,0,255
56228,rate_80,255,0,0
56247,rate_80,0,0,255
56267,rate_80,255,0,0
56287,rate_80,0,0,255
56307,rate_80,255,0,0
56327,rate_80,0,0,255
56347,rate_80,255,0,0
56369,rate_80,0,0,255
56390,rate_80,255,0,0
56408,rate_80,0,0,255
56428,rate_80,255,0,0
56448,rate_80,0,0,255
56478,rate_80,255,0,0
56498,rate_80,0,0,255
56520,rate_80,255,0,0
56548,rate_80,0,0,255
56569,rate_80,255,0,0
56589,rate_80,0,0,255
56607,rate_80,255,0,0
56627,rate_80,0,0,255
